Match ID,Turnaus,Joukkue1,Joukkue2,Kartta,T1 Score,T2 Score,T1 FH,T1 SH,T2 FH,T2 SH,T1 Clutches,T2 Clutches,T1 FK,T2 FK,T1 Rating,T2 Rating,Tyyppi,Päiväys,MapNro,Voittaja,Team1,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Team2,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Voittaja,T1 Tapot,T2 Tapot,Tapot Yht,T1 K/R,T2 K/R,T1 Taso,T2 Taso,Ott Taso,Turnaus Taso,Turnaus Tyyppi,Total Rounds
22303,IEM Sydney 2023,MOUZ,VERTEX,Inferno,13,2,10,3,2,0,2,0,10,5,1.67,0.49,LAN,10/16/2023,Map1,1,MOUZ,xertioN,22303,16 - 6,2.67,125.7,2,2.02,siuhy,22303,13 - 7,1.86,92.9,3,1.69,torzsi,22303,12 - 4,3,78,1,1.67,Nexius,22303,14 - 5,2.8,75.8,0,1.59,frozen,22303,9 - 5,1.8,68.5,-1,1.4,VERTEX,malta,22303,8 - 12,0.67,65,1,0.84,hazr,22303,7 - 13,0.54,53.9,-2,0.53,ADDICT,22303,4 - 13,0.31,54.2,0,0.48,pz,22303,5 - 12,0.42,46.7,-1,0.41,BRACE,22303,3 - 14,0.21,30.1,-3,0.18,1,64,27,91,4.27,1.8,5,5,10,26,Large,15
22304,IEM Sydney 2023,Natus Vincere,Apeks,Mirage,13,9,8,5,4,5,3,0,8,14,1.11,0.99,LAN,10/16/2023,Map1,1,Natus Vincere,jL,22304,30 - 12,2.5,123.6,-1,1.99,Aleksib,22304,19 - 15,1.27,98.4,0,1.3,b1t,22304,13 - 14,0.93,56,2,0.93,iM,22304,12 - 14,0.86,67.9,-3,0.91,B1ad3,22304,4 - 16,0.25,43.3,-4,0.44,Apeks,sense,22304,17 - 16,1.06,88.6,-2,1.07,CacaNito,22304,15 - 16,0.94,70.6,0,1.06,jkaem,22304,13 - 18,0.72,89.4,1,1.04,nawwk,22304,13 - 15,0.87,57.7,3,0.88,kyxsan,22304,13 - 16,0.81,54.1,4,0.88,1,78,71,149,3.55,3.23,1,5,6,26,Large,22
22305,IEM Sydney 2023,Vitality,BetBoom,Mirage,14,16,8,4,4,8,0,3,13,17,1.09,1.11,LAN,10/16/2023,Map1,2,Vitality,Magisk,22305,25 - 18,1.39,100,-3,1.42,Spinx,22305,24 - 21,1.14,86.3,3,1.26,flameZ,22305,22 - 21,1.05,76.2,1,1.07,ZywOo,22305,22 - 22,1,66.6,1,1,apEX,22305,12 - 24,0.5,57.3,-6,0.69,BetBoom,KaiR0N-,22305,28 - 22,1.27,94,3,1.37,nafany,22305,22 - 22,1,80.7,2,1.21,zorte,22305,22 - 21,1.05,70.1,1,1.1,danistzz,22305,18 - 21,0.86,69.5,-1,1.02,s1ren,22305,16 - 19,0.84,60.6,-1,0.83,2,105,106,211,3.5,3.53,1,5,6,26,Large,30
22306,IEM Sydney 2023,FaZe,GamerLegion,Nuke,15,19,7,5,5,7,2,2,11,23,0.93,1.14,LAN,10/16/2023,Map1,2,FaZe,broky,22306,26 - 23,1.13,83.1,1,1.14,ropz,22306,26 - 25,1.04,74.2,-2,1.09,Twistzz,22306,23 - 24,0.96,77.8,-1,0.97,rain,22306,18 - 24,0.75,61,-7,0.76,karrigan,22306,16 - 26,0.62,59.6,-3,0.68,GamerLegion,volt,22306,29 - 23,1.26,83.9,2,1.29,isak,22306,26 - 22,1.18,72.9,4,1.24,Snax,22306,22 - 22,1,77.8,4,1.15,Keoz,22306,24 - 23,1.04,84.2,3,1.12,acoR,22306,21 - 20,1.05,61.1,-1,0.92,2,109,122,231,3.21,3.59,5,5,10,26,Large,34
22307,IEM Sydney 2023,ENCE,Lynn Vision,Anubis,13,6,7,6,5,1,1,2,11,8,1.41,0.73,LAN,10/16/2023,Map1,1,ENCE,dycha,22307,17 - 9,1.89,93.3,-1,1.54,NertZ,22307,17 - 10,1.7,86.5,3,1.5,SunPayus,22307,18 - 11,1.64,84.9,-1,1.49,Snappi,22307,15 - 11,1.36,75.3,0,1.29,Maden,22307,12 - 11,1.09,88.9,2,1.24,Lynn Vision,Starry,22307,15 - 15,1,71.3,1,1.02,Jee,22307,12 - 14,0.86,78.4,0,0.89,EmiliaQAQ,22307,9 - 17,0.53,68.2,0,0.68,Westmelon,22307,6 - 16,0.38,46.7,-1,0.56,z4kr,22307,10 - 17,0.59,55.7,-3,0.48,1,79,52,131,4.16,2.74,1,4,5,26,Large,19
22308,IEM Sydney 2023,fnatic,Cloud9,Inferno,13,10,6,7,6,4,2,1,11,12,1.11,0.97,LAN,10/16/2023,Map1,1,fnatic,afro,22308,18 - 15,1.2,81.2,4,1.33,KRIMZ,22308,23 - 16,1.44,89.2,0,1.33,mezii,22308,17 - 11,1.55,82.2,1,1.28,dexter,22308,13 - 15,0.87,60,-4,0.94,roeJ,22308,8 - 16,0.5,54.7,-2,0.68,Cloud9,HObbit,22308,20 - 15,1.33,107,3,1.53,electroNic,22308,17 - 17,1,76.1,-2,1.01,Perfecto,22308,10 - 13,0.77,58.8,0,0.89,sh1ro,22308,14 - 17,0.82,55.1,1,0.82,Ax1Le,22308,9 - 18,0.5,56.1,-1,0.59,1,79,70,149,3.43,3.04,5,5,10,26,Large,23
22309,IEM Sydney 2023,G2,Grayhound,Nuke,13,11,9,4,3,8,2,2,10,14,1.11,1,LAN,10/16/2023,Map1,1,G2,m0NESY,22309,19 - 14,1.36,82.7,-1,1.28,HooXi,22309,16 - 15,1.07,78.1,0,1.08,jks,22309,17 - 15,1.13,66.7,-2,1.07,NiKo,22309,16 - 15,1.07,61.5,1,1.05,huNter-,22309,13 - 14,0.93,61.6,-2,1.05,Grayhound,INS,22309,23 - 13,1.77,84.5,3,1.48,aliStair,22309,14 - 18,0.78,62.5,5,1.02,Liazz,22309,15 - 15,1,62.5,-2,0.93,Sico,22309,13 - 19,0.68,70.4,-4,0.82,Vexite,22309,8 - 17,0.47,35.8,2,0.72,1,81,73,154,3.38,3.04,5,5,10,26,Large,24
22310,IEM Sydney 2023,Monte,Complexity,Anubis,9,13,6,3,6,7,1,3,9,13,1.03,1.17,LAN,10/16/2023,Map1,2,Monte,sdy,22310,23 - 14,1.64,99.7,2,1.43,kRaSnaL,22310,14 - 16,0.88,77.9,-1,1.04,br0,22310,12 - 17,0.71,70,-2,0.95,DemQQ,22310,11 - 14,0.79,60.6,1,0.94,Woro2k,22310,11 - 16,0.69,57.4,-4,0.82,Complexity,JT,22310,27 - 12,2.25,103.2,3,1.87,hallzerk,22310,18 - 16,1.13,88.8,2,1.25,Grim,22310,12 - 13,0.92,66,-2,1.03,EliGE,22310,11 - 14,0.79,60.5,2,0.95,floppy,22310,9 - 17,0.53,62.9,-1,0.77,2,71,77,148,3.23,3.5,2,5,7,26,Large,22
22311,IEM Sydney 2023,Apeks,VERTEX,Mirage,13,5,10,3,2,3,1,1,14,4,1.33,0.78,LAN,10/16/2023,Map1,1,Apeks,CacaNito,22311,21 - 12,1.75,111.4,4,1.72,kyxsan,22311,16 - 7,2.29,94.2,2,1.51,sense,22311,17 - 8,2.13,74.6,0,1.36,jkaem,22311,11 - 13,0.85,74.9,2,1.04,nawwk,22311,8 - 7,1.14,52.3,2,1.01,VERTEX,malta,22311,17 - 14,1.21,105.7,-3,1.28,ADDICT,22311,15 - 14,1.07,83.4,0,1.17,pz,22311,9 - 15,0.6,63.6,-1,0.71,BRACE,22311,4 - 14,0.29,35.5,0,0.46,hazr,22311,2 - 16,0.13,27.9,-6,0.26,1,73,47,120,4.06,2.61,5,5,10,26,Large,18
22312,IEM Sydney 2023,Apeks,VERTEX,Anubis,13,11,7,6,5,6,1,1,11,13,1.23,0.96,LAN,10/16/2023,Map2,1,Apeks,kyxsan,22312,22 - 17,1.29,88.5,1,1.35,jkaem,22312,19 - 15,1.27,83.8,-1,1.25,nawwk,22312,19 - 16,1.19,80.2,2,1.22,CacaNito,22312,15 - 16,0.94,80,-3,1.19,sense,22312,17 - 14,1.21,66.9,-1,1.13,VERTEX,ADDICT,22312,24 - 16,1.5,94.5,1,1.45,malta,22312,17 - 15,1.13,69.6,-1,1.1,hazr,22312,10 - 20,0.5,66.4,2,0.85,pz,22312,13 - 20,0.65,67,-1,0.76,BRACE,22312,14 - 21,0.67,52.4,1,0.63,1,92,78,170,3.83,3.25,5,5,10,26,Large,24
